age,cardmon,cardten,carvalue,commutetime,creddebt,debtinc,ed,equipmon,equipten,hourstv,income,lncreddebt,lninc,lnlongmon,lnlongten,lnothdebt,longmon,longten,othdebt,pets,pets_birds,pets_cats,pets_dogs,pets_freshfish,pets_reptiles,pets_saltfish,pets_small,reside,spoused,tenure,tollmon,tollten,wiremon,wireten,gender_1.0,edcat_2.0,edcat_3.0,edcat_4.0,edcat_5.0,employ_1.0,employ_2.0,employ_3.0,employ_4.0,employ_5.0,employ_6.0,employ_7.0,employ_8.0,employ_9.0,employ_10.0,employ_11.0,employ_12.0,employ_13.0,employ_14.0,employ_15.0,employ_16.0,employ_17.0,employ_18.0,employ_19.0,employ_20.0,employ_21.0,employ_22.0,employ_23.0,employ_24.0,employ_25.0,employ_26.0,employ_27.0,employ_28.0,employ_29.0,employ_30.0,employ_31.0,employ_32.0,employ_33.0,employ_34.0,employ_35.0,employ_36.0,employ_37.0,employ_38.0,employ_39.0,employ_40.0,employ_41.0,employ_42.0,employ_43.0,employ_44.0,employ_45.0,employ_46.0,employ_47.0,employ_48.0,employ_49.0,employ_51.0,employ_52.0,empcat_2.0,empcat_3.0,empcat_4.0,empcat_5.0,retire_1.0,inccat_2.0,inccat_3.0,inccat_4.0,inccat_5.0,jobsat_2.0,jobsat_3.0,jobsat_4.0,jobsat_5.0,homeown_1.0,address_1.0,address_2.0,address_3.0,address_4.0,address_5.0,address_6.0,address_7.0,address_8.0,address_9.0,address_10.0,address_11.0,address_12.0,address_13.0,address_14.0,address_15.0,address_16.0,address_17.0,address_18.0,address_19.0,address_20.0,address_21.0,address_22.0,address_23.0,address_24.0,address_25.0,address_26.0,address_27.0,address_28.0,address_29.0,address_30.0,address_31.0,address_32.0,address_33.0,address_34.0,address_35.0,address_36.0,address_37.0,address_38.0,address_39.0,address_40.0,address_41.0,address_42.0,address_43.0,address_44.0,address_45.0,address_46.0,address_47.0,address_48.0,address_49.0,address_50.0,address_51.0,address_52.0,address_53.0,address_54.0,address_55.0,address_57.0,addresscat_2.0,addresscat_3.0,addresscat_4.0,addresscat_5.0,carown_0.0,carown_1.0,carcatvalue_1.0,carcatvalue_2.0,carcatvalue_3.0,vote_1.0,card_2.0,card_3.0,card_4.0,card_5.0,cardtenure_1.0,cardtenure_2.0,cardtenure_3.0,cardtenure_4.0,cardtenure_5.0,cardtenure_6.0,cardtenure_7.0,cardtenure_8.0,cardtenure_9.0,cardtenure_10.0,cardtenure_11.0,cardtenure_12.0,cardtenure_13.0,cardtenure_14.0,cardtenure_15.0,cardtenure_16.0,cardtenure_17.0,cardtenure_18.0,cardtenure_19.0,cardtenure_20.0,cardtenure_21.0,cardtenure_22.0,cardtenure_23.0,cardtenure_24.0,cardtenure_25.0,cardtenure_26.0,cardtenure_27.0,cardtenure_28.0,cardtenure_29.0,cardtenure_30.0,cardtenure_31.0,cardtenure_32.0,cardtenure_33.0,cardtenure_34.0,cardtenure_35.0,cardtenure_36.0,cardtenure_37.0,cardtenure_38.0,cardtenure_39.0,cardtenure_40.0,cardtenurecat_2.0,cardtenurecat_3.0,cardtenurecat_4.0,cardtenurecat_5.0,card2_2.0,card2_3.0,card2_4.0,card2_5.0,card2tenure_1.0,card2tenure_2.0,card2tenure_3.0,card2tenure_4.0,card2tenure_5.0,card2tenure_6.0,card2tenure_7.0,card2tenure_8.0,card2tenure_9.0,card2tenure_10.0,card2tenure_11.0,card2tenure_12.0,card2tenure_13.0,card2tenure_14.0,card2tenure_15.0,card2tenure_16.0,card2tenure_17.0,card2tenure_18.0,card2tenure_19.0,card2tenure_20.0,card2tenure_21.0,card2tenure_22.0,card2tenure_23.0,card2tenure_24.0,card2tenure_25.0,card2tenure_26.0,card2tenure_27.0,card2tenure_28.0,card2tenure_29.0,card2tenure_30.0,card2tenurecat_2.0,card2tenurecat_3.0,card2tenurecat_4.0,card2tenurecat_5.0,tollfree_1.0,wireless_1.0,internet_1.0,internet_2.0,internet_3.0,internet_4.0,callwait_1.0,confer_1.0,owntv_1.0,ownvcr_1.0,owndvd_1.0,owncd_1.0,ownpda_1.0,ownfax_1.0,pager_1.0,forward_1.0,callid_1.0,agecat_3.0,agecat_4.0,agecat_5.0,agecat_6.0,equip_1.0,multline_1.0,ownpc_1.0,response_03_1.0,region_2.0,region_3.0,region_4.0,region_5.0,news_1.0,spousedcat_1.0,spousedcat_2.0,spousedcat_3.0,spousedcat_4.0,spousedcat_5.0,commutebike_1.0,ownipod_1.0,voice_1.0,callcard_1.0,card2fee_1.0,ln_totalcreditspend
20.0,14.25,60.0,14.3,22.0,1.2,11.1,15.0,29.5,126.1,13.0,31.0,0.18,3.43,1.87,3.54,0.81,6.5,34.4,2.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,29.0,131.94,0.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,4.889897898613436
22.0,16.0,610.0,6.8,29.0,1.22,18.6,17.0,54.85,878.3875,18.0,15.0,0.2,2.71,2.19,5.8,0.45,8.9,330.6,1.57,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,39.0,0.0,0.0,45.65,878.3875,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,4.363608049149864
67.0,23.0,622.4775,18.8,24.0,0.93,9.9,14.0,0.0,0.0,21.0,35.0,0.0,3.56,3.35,7.53,0.93,28.4,622.4775,2.54,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,13.0,65.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,5.888794852386603
23.0,21.0,239.44,8.7,38.0,0.02,5.7,16.0,0.0,0.0,26.0,20.0,0.0,3.0,1.79,5.3,0.11,6.0,199.45,1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,18.0,36.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,5.482470578170961
26.0,17.25,360.0,10.6,32.0,0.21,1.7,16.0,0.0,0.0,27.0,23.0,-0.385,3.14,1.12,4.31,-0.385,3.05,74.1,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,13.0,21.0,16.5,387.7,19.05,393.47499999999997,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,5.977555766921733
64.0,28.25,736.2,-0.25,23.0,1.06,5.6,17.0,35.5,736.2,21.0,107.0,0.06,4.67,2.09,5.58,1.6,8.1,264.9,4.93,11.0,0.0,1.0,1.0,7.0,0.0,0.0,2.0,1.0,-0.25,28.0,26.75,726.6,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,5.434900348334571
52.0,0.0,0.0,25.6,32.0,0.5,1.9,14.0,0.0,0.0,19.0,58.25,-0.20249999999999999,4.34,1.34,3.8,-0.04,3.8,44.8,0.96,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,-0.20249999999999999,15.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4.081765780015241
44.0,14.5,630.0,55.5,31.0,5.95,14.4,16.0,0.0,0.0,13.0,97.0,1.78,4.57,2.7,6.42,2.08,14.85,612.7,8.02,10.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,2.0,15.0,46.0,24.0,750.1,0.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,6.621538798691966
66.0,15.5,558.3725,8.6,25.0,0.1,2.6,12.0,0.0,0.0,25.0,16.0,-1.04,2.77,3.05,6.98,-1.04,21.05,558.3725,0.31,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,53.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6.1502402293893885
47.0,0.0,0.0,41.0,29.0,1.77,4.1,11.0,0.0,0.0,21.0,56.25,0.57,4.43,1.29,3.0,0.52,3.65,20.05,1.67,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.047427642434349
